Role,Module,Route,API endpoint,Action,Expected access,Navigation visibility,Direct URL access,Backend/API authorization,Ownership restriction,Automated test,Browser result,Live result,Status,Evidence,Blocker
owner,CRM & Proposal,/crm/kyc-queue,N/A (page resource; endpoint matrix tracked separately),View,ALLOW (current source policy),VISIBLE,ALLOW,Page/layout gate; action and endpoint capabilities require separate rows,Tenant scope required,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,apps/web/src/app/(dashboard)/crm/kyc-queue/page.tsx; apps/web/src/lib/operations/nav-config.ts; apps/web/src/lib/protected-route.ts,
owner,CRM & Proposal,/crm/opportunities,N/A (page resource; endpoint matrix tracked separately),View,ALLOW (current source policy),NO CONFIGURED NAV ITEM,ALLOW BY CATCH-ALL; PAGE GATE VARIES,Page/layout gate; action and endpoint capabilities require separate rows,Tenant scope required,NOT TESTED,NOT TESTED,NOT TESTED,PARTIAL,apps/web/src/app/(dashboard)/crm/opportunities/page.tsx; apps/web/src/lib/operations/nav-config.ts; apps/web/src/lib/protected-route.ts,
owner,CRM & Proposal,/crm/opportunities/[id],N/A (page resource; endpoint matrix tracked separately),View,ALLOW (current source policy),NO CONFIGURED NAV ITEM,ALLOW BY CATCH-ALL; PAGE GATE VARIES,Page/layout gate; action and endpoint capabilities require separate rows,Tenant scope required,NOT TESTED,NOT TESTED,NOT TESTED,PARTIAL,apps/web/src/app/(dashboard)/crm/opportunities/[id]/page.tsx; apps/web/src/lib/operations/nav-config.ts; apps/web/src/lib/protected-route.ts,
owner,CRM & Proposal,/crm/opportunities/[id]/proposal,N/A (page resource; endpoint matrix tracked separately),View,ALLOW (current source policy),NO CONFIGURED NAV ITEM,ALLOW BY CATCH-ALL; PAGE GATE VARIES,Page/layout gate; action and endpoint capabilities require separate rows,Tenant scope required,NOT TESTED,NOT TESTED,NOT TESTED,PARTIAL,apps/web/src/app/(dashboard)/crm/opportunities/[id]/proposal/page.tsx; apps/web/src/lib/operations/nav-config.ts; apps/web/src/lib/protected-route.ts,
owner,CRM & Proposal,/crm/opportunities/[id]/proposal/change-requests,N/A (page resource; endpoint matrix tracked separately),View,ALLOW (current source policy),NO CONFIGURED NAV ITEM,ALLOW BY CATCH-ALL; PAGE GATE VARIES,Page/layout gate; action and endpoint capabilities require separate rows,Tenant scope required,NOT TESTED,NOT TESTED,NOT TESTED,PARTIAL,apps/web/src/app/(dashboard)/crm/opportunities/[id]/proposal/change-requests/page.tsx; apps/web/src/lib/operations/nav-config.ts; apps/web/src/lib/protected-route.ts,
owner,CRM & Proposal,/crm/opportunities/[id]/proposal/design,N/A (page resource; endpoint matrix tracked separately),View,ALLOW (current source policy),NO CONFIGURED NAV ITEM,ALLOW BY CATCH-ALL; PAGE GATE VARIES,Page/layout gate; action and endpoint capabilities require separate rows,Tenant scope required,NOT TESTED,NOT TESTED,NOT TESTED,PARTIAL,apps/web/src/app/(dashboard)/crm/opportunities/[id]/proposal/design/page.tsx; apps/web/src/lib/operations/nav-config.ts; apps/web/src/lib/protected-route.ts,
owner,CRM & Proposal,/crm/opportunities/[id]/proposal/inspection,N/A (page resource; endpoint matrix tracked separately),View,ALLOW (current source policy),NO CONFIGURED NAV ITEM,ALLOW BY CATCH-ALL; PAGE GATE VARIES,Page/layout gate; action and endpoint capabilities require separate rows,Tenant scope required,NOT TESTED,NOT TESTED,NOT TESTED,PARTIAL,apps/web/src/app/(dashboard)/crm/opportunities/[id]/proposal/inspection/page.tsx; apps/web/src/lib/operations/nav-config.ts; apps/web/src/lib/protected-route.ts,
owner,CRM & Proposal,/crm/opportunities/[id]/proposal/pprf,N/A (page resource; endpoint matrix tracked separately),View,ALLOW (current source policy),NO CONFIGURED NAV ITEM,ALLOW BY CATCH-ALL; PAGE GATE VARIES,Page/layout gate; action and endpoint capabilities require separate rows,Tenant scope required,NOT TESTED,NOT TESTED,NOT TESTED,PARTIAL,apps/web/src/app/(dashboard)/crm/opportunities/[id]/proposal/pprf/page.tsx; apps/web/src/lib/operations/nav-config.ts; apps/web/src/lib/protected-route.ts,
owner,CRM & Proposal,/crm/opportunities/new/pprf,N/A (page resource; endpoint matrix tracked separately),View,ALLOW (current source policy),NO CONFIGURED NAV ITEM,ALLOW BY CATCH-ALL; PAGE GATE VARIES,Page/layout gate; action and endpoint capabilities require separate rows,Tenant scope required,NOT TESTED,NOT TESTED,NOT TESTED,PARTIAL,apps/web/src/app/(dashboard)/crm/opportunities/new/pprf/page.tsx; apps/web/src/lib/operations/nav-config.ts; apps/web/src/lib/protected-route.ts,
owner,Dashboard,/dashboard,N/A (page resource; endpoint matrix tracked separately),View,ALLOW (current source policy),VISIBLE,ALLOW,Page/layout gate; action and endpoint capabilities require separate rows,Tenant scope required,NOT TESTED,PASSED - real Supabase login and render,NOT TESTED,PARTIAL,apps/web/src/app/(dashboard)/dashboard/page.tsx; isolated Chromium role matrix 2026-09-02,Full route-state and action coverage remains
owner,Documents,/documents,N/A (page resource; endpoint matrix tracked separately),View,ALLOW (current source policy),VISIBLE,ALLOW,Page/layout gate; action and endpoint capabilities require separate rows,Tenant scope required,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,apps/web/src/app/(dashboard)/documents/page.tsx; apps/web/src/lib/operations/nav-config.ts; apps/web/src/lib/protected-route.ts,
owner,Finance,/finance,N/A (page resource; endpoint matrix tracked separately),View,ALLOW (current source policy),VISIBLE,ALLOW,Page/layout gate; action and endpoint capabilities require separate rows,Tenant scope required,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,apps/web/src/app/(dashboard)/finance/page.tsx; apps/web/src/lib/operations/nav-config.ts; apps/web/src/lib/protected-route.ts,
owner,Finance,/finance/cash,N/A (page resource; endpoint matrix tracked separately),View,ALLOW (current source policy),VISIBLE,ALLOW,Page/layout gate; action and endpoint capabilities require separate rows,Tenant scope required,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,apps/web/src/app/(dashboard)/finance/cash/page.tsx; apps/web/src/lib/operations/nav-config.ts; apps/web/src/lib/protected-route.ts,
owner,Finance,/finance/cash/[id],N/A (page resource; endpoint matrix tracked separately),View,ALLOW (current source policy),PARENT VISIBLE,ALLOW,Page/layout gate; action and endpoint capabilities require separate rows,Tenant scope required,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,apps/web/src/app/(dashboard)/finance/cash/[id]/page.tsx; apps/web/src/lib/operations/nav-config.ts; apps/web/src/lib/protected-route.ts,
owner,Finance,/finance/cash/new,N/A (page resource; endpoint matrix tracked separately),View,ALLOW (current source policy),PARENT VISIBLE,ALLOW,Page/layout gate; action and endpoint capabilities require separate rows,Tenant scope required,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,apps/web/src/app/(dashboard)/finance/cash/new/page.tsx; apps/web/src/lib/operations/nav-config.ts; apps/web/src/lib/protected-route.ts,
owner,Finance,/finance/journals/[id],N/A (page resource; endpoint matrix tracked separately),View,ALLOW (current source policy),PARENT VISIBLE,ALLOW,Page/layout gate; action and endpoint capabilities require separate rows,Tenant scope required,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,apps/web/src/app/(dashboard)/finance/journals/[id]/page.tsx; apps/web/src/lib/operations/nav-config.ts; apps/web/src/lib/protected-route.ts,
owner,Finance,/finance/journals/new,N/A (page resource; endpoint matrix tracked separately),View,ALLOW (current source policy),PARENT VISIBLE,ALLOW,Page/layout gate; action and endpoint capabilities require separate rows,Tenant scope required,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,apps/web/src/app/(dashboard)/finance/journals/new/page.tsx; apps/web/src/lib/operations/nav-config.ts; apps/web/src/lib/protected-route.ts,
owner,Finance,/finance/ledger,N/A (page resource; endpoint matrix tracked separately),View,ALLOW (current source policy),PARENT VISIBLE,ALLOW,Page/layout gate; action and endpoint capabilities require separate rows,Tenant scope required,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,apps/web/src/app/(dashboard)/finance/ledger/page.tsx; apps/web/src/lib/operations/nav-config.ts; apps/web/src/lib/protected-route.ts,
owner,Finance,/finance/payables,N/A (page resource; endpoint matrix tracked separately),View,ALLOW (current source policy),VISIBLE,ALLOW,Page/layout gate; action and endpoint capabilities require separate rows,Tenant scope required,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,apps/web/src/app/(dashboard)/finance/payables/page.tsx; apps/web/src/lib/operations/nav-config.ts; apps/web/src/lib/protected-route.ts,
owner,Finance,/finance/payables/[id],N/A (page resource; endpoint matrix tracked separately),View,ALLOW (current source policy),PARENT VISIBLE,ALLOW,Page/layout gate; action and endpoint capabilities require separate rows,Tenant scope required,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,apps/web/src/app/(dashboard)/finance/payables/[id]/page.tsx; apps/web/src/lib/operations/nav-config.ts; apps/web/src/lib/protected-route.ts,
owner,Finance,/finance/payables/[id]/edit,N/A (page resource; endpoint matrix tracked separately),View,ALLOW (current source policy),PARENT VISIBLE,ALLOW,Page/layout gate; action and endpoint capabilities require separate rows,Tenant scope required,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,apps/web/src/app/(dashboard)/finance/payables/[id]/edit/page.tsx; apps/web/src/lib/operations/nav-config.ts; apps/web/src/lib/protected-route.ts,
owner,Finance,/finance/payables/new,N/A (page resource; endpoint matrix tracked separately),View,ALLOW (current source policy),PARENT VISIBLE,ALLOW,Page/layout gate; action and endpoint capabilities require separate rows,Tenant scope required,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,apps/web/src/app/(dashboard)/finance/payables/new/page.tsx; apps/web/src/lib/operations/nav-config.ts; apps/web/src/lib/protected-route.ts,
owner,Finance,/finance/receivables,N/A (page resource; endpoint matrix tracked separately),View,ALLOW (current source policy),VISIBLE,ALLOW,Page/layout gate; action and endpoint capabilities require separate rows,Tenant scope required,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,apps/web/src/app/(dashboard)/finance/receivables/page.tsx; apps/web/src/lib/operations/nav-config.ts; apps/web/src/lib/protected-route.ts,
owner,Finance,/finance/reconciliation,N/A (page resource; endpoint matrix tracked separately),View,ALLOW (current source policy),VISIBLE,ALLOW,Page/layout gate; action and endpoint capabilities require separate rows,Tenant scope required,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,apps/web/src/app/(dashboard)/finance/reconciliation/page.tsx; apps/web/src/lib/operations/nav-config.ts; apps/web/src/lib/protected-route.ts,
owner,Finance,/finance/reconciliation/[id],N/A (page resource; endpoint matrix tracked separately),View,ALLOW (current source policy),PARENT VISIBLE,ALLOW,Page/layout gate; action and endpoint capabilities require separate rows,Tenant scope required,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,apps/web/src/app/(dashboard)/finance/reconciliation/[id]/page.tsx; apps/web/src/lib/operations/nav-config.ts; apps/web/src/lib/protected-route.ts,
owner,Finance,/finance/reconciliation/new,N/A (page resource; endpoint matrix tracked separately),View,ALLOW (current source policy),PARENT VISIBLE,ALLOW,Page/layout gate; action and endpoint capabilities require separate rows,Tenant scope required,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,apps/web/src/app/(dashboard)/finance/reconciliation/new/page.tsx; apps/web/src/lib/operations/nav-config.ts; apps/web/src/lib/protected-route.ts,
owner,Proposal Print,/inspection/[id],N/A (page resource; endpoint matrix tracked separately),View,ALLOW (current source policy),NO CONFIGURED NAV ITEM,ALLOW BY CATCH-ALL; PAGE GATE VARIES,Page/layout gate; action and endpoint capabilities require separate rows,Tenant scope required,NOT TESTED,NOT TESTED,NOT TESTED,PARTIAL,apps/web/src/app/(print)/inspection/[id]/page.tsx; apps/web/src/lib/operations/nav-config.ts; apps/web/src/lib/protected-route.ts,
owner,Inventory,/inventory,N/A (page resource; endpoint matrix tracked separately),View,ALLOW (current source policy),VISIBLE,ALLOW,Page/layout gate; action and endpoint capabilities require separate rows,Tenant scope required,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,apps/web/src/app/(dashboard)/inventory/page.tsx; apps/web/src/lib/operations/nav-config.ts; apps/web/src/lib/protected-route.ts,
owner,Inventory,/inventory/movements,N/A (page resource; endpoint matrix tracked separately),View,ALLOW (current source policy),PARENT VISIBLE,ALLOW,Page/layout gate; action and endpoint capabilities require separate rows,Tenant scope required,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,apps/web/src/app/(dashboard)/inventory/movements/page.tsx; apps/web/src/lib/operations/nav-config.ts; apps/web/src/lib/protected-route.ts,
owner,Inventory,/inventory/movements/[id],N/A (page resource; endpoint matrix tracked separately),View,ALLOW (current source policy),PARENT VISIBLE,ALLOW,Page/layout gate; action and endpoint capabilities require separate rows,Tenant scope required,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,apps/web/src/app/(dashboard)/inventory/movements/[id]/page.tsx; apps/web/src/lib/operations/nav-config.ts; apps/web/src/lib/protected-route.ts,
owner,Inventory,/inventory/movements/new,N/A (page resource; endpoint matrix tracked separately),View,ALLOW (current source policy),PARENT VISIBLE,ALLOW,Page/layout gate; action and endpoint capabilities require separate rows,Tenant scope required,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,apps/web/src/app/(dashboard)/inventory/movements/new/page.tsx; apps/web/src/lib/operations/nav-config.ts; apps/web/src/lib/protected-route.ts,
owner,Inventory,/inventory/receipts,N/A (page resource; endpoint matrix tracked separately),View,ALLOW (current source policy),PARENT VISIBLE,ALLOW,Page/layout gate; action and endpoint capabilities require separate rows,Tenant scope required,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,apps/web/src/app/(dashboard)/inventory/receipts/page.tsx; apps/web/src/lib/operations/nav-config.ts; apps/web/src/lib/protected-route.ts,
owner,Inventory,/inventory/receipts/[id],N/A (page resource; endpoint matrix tracked separately),View,ALLOW (current source policy),PARENT VISIBLE,ALLOW,Page/layout gate; action and endpoint capabilities require separate rows,Tenant scope required,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,apps/web/src/app/(dashboard)/inventory/receipts/[id]/page.tsx; apps/web/src/lib/operations/nav-config.ts; apps/web/src/lib/protected-route.ts,
owner,Inventory,/inventory/receipts/new,N/A (page resource; endpoint matrix tracked separately),View,ALLOW (current source policy),PARENT VISIBLE,ALLOW,Page/layout gate; action and endpoint capabilities require separate rows,Tenant scope required,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,apps/web/src/app/(dashboard)/inventory/receipts/new/page.tsx; apps/web/src/lib/operations/nav-config.ts; apps/web/src/lib/protected-route.ts,
owner,Finance,/invoices,N/A (page resource; endpoint matrix tracked separately),View,ALLOW (current source policy),VISIBLE,ALLOW,Page/layout gate; action and endpoint capabilities require separate rows,Tenant scope required,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,apps/web/src/app/(dashboard)/invoices/page.tsx; apps/web/src/lib/operations/nav-config.ts; apps/web/src/lib/protected-route.ts,
owner,Finance,/invoices/[id],N/A (page resource; endpoint matrix tracked separately),View,ALLOW (current source policy),PARENT VISIBLE,ALLOW,Page/layout gate; action and endpoint capabilities require separate rows,Tenant scope required,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,apps/web/src/app/(dashboard)/invoices/[id]/page.tsx; apps/web/src/lib/operations/nav-config.ts; apps/web/src/lib/protected-route.ts,
owner,Finance,/invoices/[id]/bir2307,N/A (page resource; endpoint matrix tracked separately),View,ALLOW (current source policy),PARENT VISIBLE,ALLOW,Page/layout gate; action and endpoint capabilities require separate rows,Tenant scope required,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,apps/web/src/app/(print)/invoices/[id]/bir2307/page.tsx; apps/web/src/lib/operations/nav-config.ts; apps/web/src/lib/protected-route.ts,
owner,Finance,/invoices/[id]/print,N/A (page resource; endpoint matrix tracked separately),View,ALLOW (current source policy),PARENT VISIBLE,ALLOW,Page/layout gate; action and endpoint capabilities require separate rows,Tenant scope required,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,apps/web/src/app/(print)/invoices/[id]/print/page.tsx; apps/web/src/lib/operations/nav-config.ts; apps/web/src/lib/protected-route.ts,
owner,Pre-Construction,/permits,N/A (page resource; endpoint matrix tracked separately),View,ALLOW (current source policy),VISIBLE,ALLOW,Page/layout gate; action and endpoint capabilities require separate rows,Tenant scope required,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,apps/web/src/app/(dashboard)/permits/page.tsx; apps/web/src/lib/operations/nav-config.ts; apps/web/src/lib/protected-route.ts,
owner,Pipeline,/pipeline,N/A (page resource; endpoint matrix tracked separately),View,ALLOW (current source policy),NO CONFIGURED NAV ITEM,ALLOW BY CATCH-ALL; PAGE GATE VARIES,Page/layout gate; action and endpoint capabilities require separate rows,Tenant scope required,NOT TESTED,NOT TESTED,NOT TESTED,PARTIAL,apps/web/src/app/(dashboard)/pipeline/page.tsx; apps/web/src/lib/operations/nav-config.ts; apps/web/src/lib/protected-route.ts,
owner,Pipeline,/pipeline/board,N/A (page resource; endpoint matrix tracked separately),View,ALLOW (current source policy),VISIBLE,ALLOW,Page/layout gate; action and endpoint capabilities require separate rows,Tenant scope required,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,apps/web/src/app/(dashboard)/pipeline/board/page.tsx; apps/web/src/lib/operations/nav-config.ts; apps/web/src/lib/protected-route.ts,
owner,Pipeline,/pipeline/conversion,N/A (page resource; endpoint matrix tracked separately),View,ALLOW (current source policy),NO CONFIGURED NAV ITEM,ALLOW BY CATCH-ALL; PAGE GATE VARIES,Page/layout gate; action and endpoint capabilities require separate rows,Tenant scope required,NOT TESTED,NOT TESTED,NOT TESTED,PARTIAL,apps/web/src/app/(dashboard)/pipeline/conversion/page.tsx; apps/web/src/lib/operations/nav-config.ts; apps/web/src/lib/protected-route.ts,
owner,Process & SLA,/process,N/A (page resource; endpoint matrix tracked separately),View,ALLOW (current source policy),VISIBLE,ALLOW,Page/layout gate; action and endpoint capabilities require separate rows,Tenant scope required,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,apps/web/src/app/(dashboard)/process/page.tsx; apps/web/src/lib/operations/nav-config.ts; apps/web/src/lib/protected-route.ts,
owner,Procurement,/procurement,N/A (page resource; endpoint matrix tracked separately),View,ALLOW (current source policy),NO CONFIGURED NAV ITEM,ALLOW BY CATCH-ALL; PAGE GATE VARIES,Page/layout gate; action and endpoint capabilities require separate rows,Tenant scope required,NOT TESTED,NOT TESTED,NOT TESTED,PARTIAL,apps/web/src/app/(dashboard)/procurement/page.tsx; apps/web/src/lib/operations/nav-config.ts; apps/web/src/lib/protected-route.ts,
owner,Procurement,/procurement/deliveries,N/A (page resource; endpoint matrix tracked separately),View,ALLOW (current source policy),VISIBLE,ALLOW,Page/layout gate; action and endpoint capabilities require separate rows,Tenant scope required,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,apps/web/src/app/(dashboard)/procurement/deliveries/page.tsx; apps/web/src/lib/operations/nav-config.ts; apps/web/src/lib/protected-route.ts,
owner,Procurement,/procurement/deliveries/[id],N/A (page resource; endpoint matrix tracked separately),View,ALLOW (current source policy),PARENT VISIBLE,ALLOW,Page/layout gate; action and endpoint capabilities require separate rows,Tenant scope required,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,apps/web/src/app/(dashboard)/procurement/deliveries/[id]/page.tsx; apps/web/src/lib/operations/nav-config.ts; apps/web/src/lib/protected-route.ts,
owner,Procurement,/procurement/deliveries/new,N/A (page resource; endpoint matrix tracked separately),View,ALLOW (current source policy),PARENT VISIBLE,ALLOW,Page/layout gate; action and endpoint capabilities require separate rows,Tenant scope required,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,apps/web/src/app/(dashboard)/procurement/deliveries/new/page.tsx; apps/web/src/lib/operations/nav-config.ts; apps/web/src/lib/protected-route.ts,
